source,name,address,city,country,category,cuisine,price,phone,url,year,description,latitude,longitude,captured_at,kakao_id,kakao_url,korean_query,name_ko,address_ko
blueribbon,XESC MENZL,서울특별시 성동구 성수이로14길 7,Seoul,South Korea,RIBBON_TWO,,,02-6082-0393,,2026,XESC MENZL,37.54106033675408,127.05641286396366,2026-02-17T22:29:33.775718+00:00,,,,세스크멘슬,서울특별시 성동구 성수이로14길 7
blueribbon,오장동흥남집,서울특별시 중구 마른내로 114,Seoul,South Korea,RIBBON_TWO,,,02-2266-0735 ,,2026,,37.56425,127.0005,2026-02-17T22:29:33.775718+00:00,,,,오장동흥남집,서울특별시 중구 마른내로 114
blueribbon,오장동함흥냉면,서울특별시 중구 마른내로 108,Seoul,South Korea,RIBBON_TWO,,,02-2267-9500 ,,2026,,37.56425,126.9999,2026-02-17T22:29:33.775718+00:00,,,,오장동함흥냉면,서울특별시 중구 마른내로 108
blueribbon,default value,서울특별시 서대문구 성산로 333,Seoul,South Korea,RIBBON_TWO,,,02-2293-3889 ,,2026,default value,37.5661857885447,126.927353106836,2026-02-17T22:29:33.775718+00:00,,,,디폴트밸류,서울특별시 서대문구 성산로 333
blueribbon,Mesh Coffee,서울특별시 성동구 서울숲길 43,Seoul,South Korea,RIBBON_TWO,,,02-464-7078,,2026,Mesh Coffee,37.54808,127.04244,2026-02-17T22:29:33.775718+00:00,,,,메쉬커피,서울특별시 성동구 서울숲길 43
blueribbon,EL Cafe,서울특별시 용산구 후암로 68,Seoul,South Korea,RIBBON_TWO,,,0507-1304-0736,,2026,EL Cafe,37.5519690862067,126.977112544264,2026-02-17T22:29:33.775718+00:00,,,,엘카페커피로스터스,서울특별시 용산구 후암로 68
blueribbon,Coffee Libre,서울특별시 마포구 성미산로32길 20-5,Seoul,South Korea,RIBBON_TWO,,,0507-1488-0633,,2026,Coffee Libre,37.5636435058861,126.923730236588,2026-02-17T22:29:33.775718+00:00,,,,커피리브레,서울특별시 마포구 성미산로32길 20-5
blueribbon,IDENTITY COFFEE LAB,서울특별시 마포구 동교로 139,Seoul,South Korea,RIBBON_TWO,,,02-6015-0418,,2026,IDENTITY COFFEE LAB,37.5554112242628,126.917486143443,2026-02-17T22:29:33.775718+00:00,,,,아이덴티티커피랩,서울특별시 마포구 동교로 139
blueribbon,Deep blue lake,서울특별시 마포구 포은로6길 11,Seoul,South Korea,RIBBON_TWO,,,02-333-8532,,2026,Deep blue lake,37.555775,126.905635,2026-02-17T22:29:33.775718+00:00,,,,딥블루레이크,서울특별시 마포구 포은로6길 11
blueribbon,휴135,서울특별시 용산구 이태원로55나길 6,Seoul,South Korea,RIBBON_TWO,,,070-4155-0135,,2026,,37.53666611513179,126.99909484024475,2026-02-17T22:29:33.775718+00:00,,,,휴135,서울특별시 용산구 이태원로55나길 6
blueribbon,Butcheli House,서울특별시 용산구 독서당로 122-1,Seoul,South Korea,RIBBON_TWO,,,02-792-5676,,2026,Butcheli House,37.536814,127.012713,2026-02-17T22:29:33.775718+00:00,,,,부첼리하우스,서울특별시 용산구 독서당로 122-1
blueribbon,BLT Steak,서울특별시 종로구 청계천로 279,Seoul,South Korea,RIBBON_TWO,,,02-2276-3330 ,,2026,BLT Steak,37.57044961338216,127.00874326329739,2026-02-17T22:29:33.775718+00:00,,,,BLT스테이크,서울특별시 종로구 청계천로 279
blueribbon,댓잎갈비,서울특별시 용산구 서빙고로91길 2,Seoul,South Korea,RIBBON_TWO,,,02-796-3355,,2026,,37.524733243328555,127.00170595433845,2026-02-17T22:29:33.775718+00:00,,,,댓잎갈비,서울특별시 용산구 서빙고로91길 2
blueribbon,금룡,서울특별시 광진구 워커힐로 177,Seoul,South Korea,RIBBON_TWO,,,02-6330-9040,,2026,,37.55863008236035,127.1117068379481,2026-02-17T22:29:33.775718+00:00,,,,금룡,서울특별시 광진구 워커힐로 177
blueribbon,FELL&COLE,서울특별시 마포구 와우산로 39-21,Seoul,South Korea,RIBBON_TWO,,,070-4411-1434,,2026,FELL&COLE,37.54813,126.9222,2026-02-17T22:29:33.775718+00:00,,,,펠앤콜,서울특별시 마포구 와우산로 39-21
blueribbon,발우공양,서울특별시 종로구 우정국로 56,Seoul,South Korea,RIBBON_TWO,,,02-733-2081 ,,2026,,37.57386,126.9832,2026-02-17T22:29:33.775718+00:00,,,,발우공양,서울특별시 종로구 우정국로 56
blueribbon,모모야마,서울특별시 중구 을지로 30,Seoul,South Korea,RIBBON_TWO,,,02-317-7031,,2026,,37.56461,126.9809,2026-02-17T22:29:33.775718+00:00,,,,모모야마,서울특별시 중구 을지로 30
blueribbon,Tian mi mi,서울특별시 마포구 양화로 144,Seoul,South Korea,RIBBON_TWO,,,010-8823-1071,,2026,Tian mi mi,37.5553436435547,126.922393972623,2026-02-17T22:29:33.775718+00:00,,,,티엔미미(홍대점),서울특별시 마포구 양화로 144
blueribbon,Deepin Ok-Su,서울특별시 성동구 독서당로 194,Seoul,South Korea,RIBBON_TWO,,,02-2292-4410,,2026,Deepin Ok-Su,37.5426912380213,127.012662054013,2026-02-17T22:29:33.775718+00:00,,,,디핀옥수,서울특별시 성동구 독서당로 194
blueribbon,도량,서울특별시 종로구 자하문로6길 6,Seoul,South Korea,RIBBON_TWO,,,02-739-0147,,2026,,37.5779680592302,126.972504517859,2026-02-17T22:29:33.775718+00:00,,,,도량,서울특별시 종로구 자하문로6길 6
blueribbon,YAKITORI MOOK,서울특별시 마포구 성미산로 165-1,Seoul,South Korea,RIBBON_TWO,,,070-8835-3433,,2026,YAKITORI MOOK,37.5646633414656,126.92456870688,2026-02-17T22:29:33.775718+00:00,,,,야키도리묵,서울특별시 마포구 성미산로 165-1
blueribbon,진진,서울특별시 마포구 월드컵북로1길 60,Seoul,South Korea,RIBBON_TWO,,,02-332-9866,,2026,,37.553806747709,126.918422364162,2026-02-17T22:29:33.775718+00:00,,,,진진,서울특별시 마포구 월드컵북로1길 60
blueribbon,Ca' Del Lupo,서울특별시 종로구 자하문로16길 5-5,Seoul,South Korea,RIBBON_TWO,,,02-734-5233 ,,2026,Ca' Del Lupo,37.58179,126.9714,2026-02-17T22:29:33.775718+00:00,,,,까델루뽀,서울특별시 종로구 자하문로16길 5-5
blueribbon,SEOUL DINING,서울특별시 중구 동호로 272,Seoul,South Korea,RIBBON_TWO,,,02-6325-6321,,2026,SEOUL DINING,37.55922,127.003614,2026-02-17T22:29:33.775718+00:00,,,,서울다이닝,서울특별시 중구 동호로 272
blueribbon,카덴,서울특별시 서대문구 연희로 173,Seoul,South Korea,RIBBON_TWO,,,02-3142-6362 ,,2026,,37.572533,126.935079,2026-02-17T22:29:33.775718+00:00,,,,카덴,서울특별시 서대문구 연희로 173
blueribbon,옥동식,서울특별시 마포구 양화로7길 44-10,Seoul,South Korea,RIBBON_TWO,,,010-5571-9915,,2026,,37.55262,126.914492,2026-02-17T22:29:33.775718+00:00,,,,옥동식,서울특별시 마포구 양화로7길 44-10
blueribbon,계향각,서울특별시 종로구 동숭길 86,Seoul,South Korea,RIBBON_TWO,,,02-3674-7770,,2026,,37.5820958419415,127.004326234581,2026-02-17T22:29:33.775718+00:00,,,,계향각,서울특별시 종로구 동숭길 86
blueribbon,산청숯불가든,서울특별시 중구 을지로 114-6,Seoul,South Korea,RIBBON_TWO,,,02-2273-8188,,2026,,37.5658338527593,126.990609042403,2026-02-17T22:29:33.775718+00:00,,,,산청숯불가든,서울특별시 중구 을지로 114-6
blueribbon,Cucciolo,서울특별시 용산구 한강대로 100,Seoul,South Korea,RIBBON_TWO,,,010-5232-9851,,2026,Cucciolo,37.5287911785354,126.968673565462,2026-02-17T22:29:33.775718+00:00,,,,쿠촐로서울,서울특별시 용산구 한강대로 100
blueribbon,Modern Shabu House,서울특별시 종로구 종로3길 17,Seoul,South Korea,RIBBON_TWO,,,02-2251-8501,,2026,Modern Shabu House,37.5709958592808,126.978914477333,2026-02-17T22:29:33.775718+00:00,,,,모던샤브하우스(광화문D타워점),서울특별시 종로구 종로3길 17
blueribbon,만리지화,서울특별시 종로구 종로3길 17,Seoul,South Korea,RIBBON_TWO,,,02-2251-8522,,2026,,37.5709958592808,126.978914477333,2026-02-17T22:29:33.775718+00:00,,,,만리지화,서울특별시 종로구 종로3길 17
blueribbon,남영돈,서울특별시 용산구 한강대로80길 17,Seoul,South Korea,RIBBON_TWO,,,02-793-3598,,2026,,37.5427493719708,126.973775844291,2026-02-17T22:29:33.775718+00:00,,,,남영돈,서울특별시 용산구 한강대로80길 17
blueribbon,호반,서울특별시 종로구 삼일대로26길 20,Seoul,South Korea,RIBBON_TWO,,,02-745-6618,,2026,,37.573264,126.989129,2026-02-17T22:29:33.775718+00:00,,,,호반,서울특별시 종로구 삼일대로26길 20
blueribbon,홍연,서울특별시 중구 소공로 106,Seoul,South Korea,RIBBON_TWO,,,02-317-0494 ,,2026,,37.564483681788396,126.98018321530917,2026-02-17T22:29:33.775718+00:00,,,,홍연,서울특별시 중구 소공로 106
blueribbon,Flavour town ,서울특별시 성동구 서울숲4길 18-7,Seoul,South Korea,RIBBON_TWO,,,02-469-9954,,2026,Flavour town ,37.5469844940099,127.042925648075,2026-02-17T22:29:33.775718+00:00,,,,플레이버타운,서울특별시 성동구 서울숲4길 18-7
blueribbon,Piece,서울특별시 용산구 한남대로 91,Seoul,South Korea,RIBBON_TWO,,,02-790-0768,,2026,Piece,37.5365636555465,127.002134363783,2026-02-17T22:29:33.775718+00:00,,,,피에세,서울특별시 용산구 한남대로 91
blueribbon,필동칼국수,서울특별시 중구 퇴계로36길 9,Seoul,South Korea,RIBBON_TWO,,,없음 ,,2026,,37.5608213723708,126.993849717992,2026-02-17T22:29:33.775718+00:00,,,,필동칼국수,서울특별시 중구 퇴계로36길 9
blueribbon,Pierre Gagnaire a seoul,서울특별시 중구 을지로 30,Seoul,South Korea,RIBBON_TWO,,,02-317-7181,,2026,Pierre Gagnaire a seoul,37.56534516953803,126.98100699814147,2026-02-17T22:29:33.775718+00:00,,,,피에르가니에르서울,서울특별시 중구 을지로 30
blueribbon,pizzeria 'O,서울특별시 종로구 동숭길 86,Seoul,South Korea,RIBBON_TWO,,,02-3673-5005 ,,2026,pizzeria 'O,37.5820958419415,127.004326234581,2026-02-17T22:29:33.775718+00:00,,,,핏제리아오,서울특별시 종로구 동숭길 86
blueribbon,한남북엇국,서울특별시 용산구 독서당로 65-7,Seoul,South Korea,RIBBON_TWO,,,02-2297-1988,,2026,,37.53395563305231,127.00806468152406,2026-02-17T22:29:33.775718+00:00,,,,한남북엇국,서울특별시 용산구 독서당로 65-7
blueribbon,Paul & Paulina,서울특별시 서대문구 연희로11길 56,Seoul,South Korea,RIBBON_TWO,,,02-333-0185 ,,2026,Paul & Paulina,37.568844,126.929055,2026-02-17T22:29:33.775718+00:00,,,,폴앤폴리나,서울특별시 서대문구 연희로11길 56
blueribbon,평안도만두집,서울특별시 종로구 새문안로3길 30,Seoul,South Korea,RIBBON_TWO,,,02-723-6592 ,,2026,,37.57275,126.9733,2026-02-17T22:29:33.775718+00:00,,,,평안도만두집,서울특별시 종로구 새문안로3길 30
blueribbon,하카다분코,서울특별시 마포구 독막로19길 43,Seoul,South Korea,RIBBON_TWO,,,02-338-5536,,2026,,37.54886,126.9237,2026-02-17T22:29:33.775718+00:00,,,,하카다분코,서울특별시 마포구 독막로19길 43
blueribbon,Palais de Chine,서울특별시 중구 퇴계로 67,Seoul,South Korea,RIBBON_TWO,,,02-317-4001,,2026,Palais de Chine,37.5597323437561,126.979523390315,2026-02-17T22:29:33.775718+00:00,,,,팔레드신,서울특별시 중구 퇴계로 67
blueribbon,Paolo de maria,서울특별시 서대문구 연희로26길 24,Seoul,South Korea,RIBBON_TWO,,,02-599-9936,,2026,Paolo de maria,37.5727556539163,126.936890577525,2026-02-17T22:29:33.775718+00:00,,,,파올로데마리아,서울특별시 서대문구 연희로26길 24
blueribbon,큰기와집,서울특별시 종로구 북촌로 22,Seoul,South Korea,RIBBON_TWO,,,02-722-9024 ,,2026,,37.5787470168012,126.985411258625,2026-02-17T22:29:33.775718+00:00,,,,큰기와집,서울특별시 종로구 북촌로 22
blueribbon,CHARLES H.,서울특별시 종로구 새문안로 97,Seoul,South Korea,RIBBON_TWO,,,02-6388-5000 ,,2026,CHARLES H.,37.570539,126.975391,2026-02-17T22:29:33.775718+00:00,,,,찰스H,서울특별시 종로구 새문안로 97
blueribbon,Conference House Dalgaebi,서울특별시 중구 세종대로19길 16,Seoul,South Korea,RIBBON_TWO,,,02-765-2035,,2026,Conference House Dalgaebi,37.56677,126.976,2026-02-17T22:29:33.775718+00:00,,,,컨퍼런스하우스달개비,서울특별시 중구 세종대로19길 16
blueribbon,충무집,서울특별시 중구 을지로3길 30-14,Seoul,South Korea,RIBBON_TWO,,,010-2019-4088,,2026,,37.567332,126.981994,2026-02-17T22:29:33.775718+00:00,,,,충무집,서울특별시 중구 을지로3길 30-14
blueribbon,Jonny Dumpling,서울특별시 용산구 보광로59길 33,Seoul,South Korea,RIBBON_TWO,,,02-790-8831,,2026,Jonny Dumpling,37.5338250009562,126.992128689959,2026-02-17T22:29:33.775718+00:00,,,,쟈니덤플링,서울특별시 용산구 보광로59길 33
blueribbon,Jue,서울특별시 용산구 독서당로 124-7,Seoul,South Korea,RIBBON_TWO,,,02-798-9700,,2026,Jue,37.53748713839805,127.01279004754028,2026-02-17T22:29:33.775718+00:00,,,,쥬에,서울특별시 용산구 독서당로 124-7
blueribbon,지화자,서울특별시 종로구 자하문로 125,Seoul,South Korea,RIBBON_TWO,,,02-2269-5834 ,,2026,,37.58706,126.969378,2026-02-17T22:29:33.775718+00:00,,,,지화자,서울특별시 종로구 자하문로 125
blueribbon,자하손만두,서울특별시 종로구 백석동길 12,Seoul,South Korea,RIBBON_TWO,,,02-379-2648 ,,2026,,37.59307,126.966,2026-02-17T22:29:33.775718+00:00,,,,자하손만두,서울특별시 종로구 백석동길 12
blueribbon,YU YUAN,서울특별시 종로구 새문안로 97,Seoul,South Korea,RIBBON_TWO,,,02-6388-5500 ,,2026,YU YUAN,37.570539,126.975391,2026-02-17T22:29:33.775718+00:00,,,,유유안,서울특별시 종로구 새문안로 97
blueribbon,을지면옥,서울특별시 종로구 삼일대로30길 12,Seoul,South Korea,RIBBON_TWO,,,02-2266-7052 ,,2026,,37.573686660928,126.988587758979,2026-02-17T22:29:33.775718+00:00,,,,을지면옥,서울특별시 종로구 삼일대로30길 12
blueribbon,우동카덴,서울특별시 마포구 양화로7안길 2-1,Seoul,South Korea,RIBBON_TWO,,,02-6463-6362,,2026,,37.55165,126.915,2026-02-17T22:29:33.775718+00:00,,,,우동카덴,서울특별시 마포구 양화로7안길 2-1
blueribbon,Oursblanc,서울특별시 용산구 효창원로70길 4,Seoul,South Korea,RIBBON_TWO,,,02-706-9356,,2026,Oursblanc,37.54138,126.9624,2026-02-17T22:29:33.775718+00:00,,,,우스블랑,서울특별시 용산구 효창원로70길 4
blueribbon,용수산비원,서울특별시 종로구 창덕궁1길 2,Seoul,South Korea,RIBBON_TWO,,,02-743-5999,,2026,,37.579407,126.989116,2026-02-17T22:29:33.775718+00:00,,,,용수산비원,서울특별시 종로구 창덕궁1길 2
blueribbon,양미옥(남대문점),서울특별시 중구 남대문로 27-2,Seoul,South Korea,RIBBON_TWO,,,02-3789-9288,,2026,,37.5614211308706,126.978778867088,2026-02-17T22:29:33.775718+00:00,,,,양미옥(남대문점),서울특별시 중구 남대문로 27-2
blueribbon,Akira Back Seoul,서울특별시 종로구 새문안로 97,Seoul,South Korea,RIBBON_TWO,,,02-6388-5500 ,,2026,Akira Back Seoul,37.57069965284965,126.97540015123504,2026-02-17T22:29:33.775718+00:00,,,,아키라백서울,서울특별시 종로구 새문안로 97
blueribbon,SUSHI SEONGBUK,서울특별시 성북구 성북로 74,Seoul,South Korea,RIBBON_TWO,,,없음,,2026,SUSHI SEONGBUK,37.5936027665025,127.000787409179,2026-02-17T22:29:33.775718+00:00,,,,스시성북,서울특별시 성북구 성북로 74
blueribbon,SICILI,서울특별시 용산구 이태원로55가길 13,Seoul,South Korea,RIBBON_TWO,,,02-6951-4250,,2026,SICILI,37.5376679399283,127.000499654869,2026-02-17T22:29:33.775718+00:00,,,,시칠리,서울특별시 용산구 이태원로55가길 13
blueribbon,순대실록,서울특별시 종로구 동숭길 113,Seoul,South Korea,RIBBON_TWO,,,02-742-5338,,2026,,37.5829715425845,127.003577707596,2026-02-17T22:29:33.775718+00:00,,,,순대실록,서울특별시 종로구 동숭길 113
blueribbon,수엔190,서울특별시 중구 퇴계로 190,Seoul,South Korea,RIBBON_TWO,,,02-2000-2888,,2026,,37.56052,126.9929,2026-02-17T22:29:33.775718+00:00,,,,수엔190,서울특별시 중구 퇴계로 190
blueribbon,순라길,서울특별시 종로구 서순라길 141,Seoul,South Korea,RIBBON_TWO,,,02-3672-5513 ,,2026,,37.57648,126.9915,2026-02-17T22:29:33.775718+00:00,,,,순라길,서울특별시 종로구 서순라길 141
blueribbon,서령(본점),서울특별시 중구 소월로 10,Seoul,South Korea,RIBBON_TWO,,,0507-1427-8766,,2026,,37.5585411616418,126.975411166003,2026-02-17T22:29:33.775718+00:00,,,,서령(본점),서울특별시 중구 소월로 10
blueribbon,SALT HOUSE CRAFT MEATS,서울특별시 마포구 월드컵로19길 14,Seoul,South Korea,RIBBON_TWO,,,02-336-2617,,2026,SALT HOUSE CRAFT MEATS,37.556823649468,126.90823736311545,2026-02-17T22:29:33.775718+00:00,,,,소금집델리,서울특별시 마포구 월드컵로19길 14
blueribbon,SOSEOUL hannam,서울특별시 용산구 한남대로20길 21-18,Seoul,South Korea,RIBBON_TWO,,,02-797-5995,,2026,SOSEOUL hannam,37.535220562541056,127.00910573136069,2026-02-17T22:29:33.775718+00:00,,,,소설한남,서울특별시 용산구 한남대로20길 21-18
blueribbon,삼청각한식당,서울특별시 성북구 대사관로 3,Seoul,South Korea,RIBBON_TWO,,,02-765-3000,,2026,,37.5971,126.9843,2026-02-17T22:29:33.775718+00:00,,,,삼청각한식당,서울특별시 성북구 대사관로 3
blueribbon,Bar Cham,서울특별시 종로구 자하문로7길 34,Seoul,South Korea,RIBBON_TWO,,,02-6402-4750,,2026,Bar Cham,37.57917145468498,126.97038445847463,2026-02-17T22:29:33.775718+00:00,,,,바참,서울특별시 종로구 자하문로7길 34
blueribbon,BOCCALINO,서울특별시 종로구 새문안로 97,Seoul,South Korea,RIBBON_TWO,,,02-6388-5500,,2026,BOCCALINO,37.570539,126.975391,2026-02-17T22:29:33.775718+00:00,,,,보칼리노,서울특별시 종로구 새문안로 97
blueribbon,배꼽집(본점),서울특별시 마포구 월드컵북로54길 17,Seoul,South Korea,RIBBON_TWO,,,02-304-9293,,2026,,37.581254,126.888871,2026-02-17T22:29:33.775718+00:00,,,,배꼽집(본점),서울특별시 마포구 월드컵북로54길 17
blueribbon,미로식당,서울특별시 마포구 와우산로30길 80,Seoul,South Korea,RIBBON_TWO,,,0507-1412-3777,,2026,,37.552014,126.927861,2026-02-17T22:29:33.775718+00:00,,,,미로식당,서울특별시 마포구 와우산로30길 80
blueribbon,무교동유정낙지,서울특별시 중구 세종대로21길 22,Seoul,South Korea,RIBBON_TWO,,,02-725-0646,,2026,,37.56762919252033,126.97604409036988,2026-02-17T22:29:33.775718+00:00,,,,무교동유정낙지,서울특별시 중구 세종대로21길 22
blueribbon,모에기,서울특별시 광진구 워커힐로 177,Seoul,South Korea,RIBBON_TWO,,,02-2022-0222 ,,2026,,37.55863008236035,127.1117068379481,2026-02-17T22:29:33.775718+00:00,,,,모에기,서울특별시 광진구 워커힐로 177
blueribbon,MAISON LOUPBLANC,서울특별시 용산구 한강대로15길 19-22,Seoul,South Korea,RIBBON_TWO,,,0507-1417-2040,,2026,MAISON LOUPBLANC,37.5256854191743,126.96275666622,2026-02-17T22:29:33.775718+00:00,,,,메종루블랑,서울특별시 용산구 한강대로15길 19-22
blueribbon,무궁화,서울특별시 중구 을지로 30,Seoul,South Korea,RIBBON_TWO,,,02-317-7061,,2026,,37.56461,126.9809,2026-02-17T22:29:33.775718+00:00,,,,무궁화,서울특별시 중구 을지로 30
blueribbon,목란,서울특별시 서대문구 연희로15길 21,Seoul,South Korea,RIBBON_TWO,,,02-732-0054,,2026,,37.56834,126.9305,2026-02-17T22:29:33.775718+00:00,,,,목란,서울특별시 서대문구 연희로15길 21
blueribbon,명륜손칼국수,서울특별시 종로구 혜화로 45-5,Seoul,South Korea,RIBBON_TWO,,,02-742-8662 ,,2026,,37.58939,126.9989,2026-02-17T22:29:33.775718+00:00,,,,명륜손칼국수,서울특별시 종로구 혜화로 45-5
