source,name,address,city,country,category,cuisine,price,phone,url,year,description,latitude,longitude,captured_at,kakao_id,kakao_url,korean_query,name_ko,address_ko
michelin,Baek Nyun Ok,"2407 Nambusunhwan-ro, Seocho-gu, Seoul",Seoul,South Korea,Selected,Dubu,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/baecnyunok,,"Located across the main road from Seoul Arts Center, Baek Nyun Ok has been attracting loyal patrons, including local performers and musicians in droves, since 1992. This humble institution specializes in fresh homemade bean curd, which is the central ingredient in a variety of dishes offered. These include plain soft bean curd and soft bean curd stew with nutty perilla seeds. The interior is simply decorated and offers both table and floor seating.",37.48115,127.01374,2026-02-17T22:25:57.141146+00:00,,,,백년옥,"서초구 남부순환로 2407, Seoul"
michelin,Base is nice,"20 Dohwa 2-gil, Mapo-gu, Seoul",Seoul,South Korea,Bib Gourmand,Vegetarian,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/base-is-nice,,"Base is Nice gives vegetables center stage. The meal follows the basic structure of Korean cuisine made with ordinary local produce, and the comforting, wholesome flavors attract loyal diners. The restaurant embodies the “art of slow living”: from the leisurely wait for each dish, the owner’s calm demeanor, down to the minimalist decoration and atmospheric music playing in the background. Be sure to make a reservation as this restaurant is run alone.",37.53958,126.94908,2026-02-17T22:25:57.141146+00:00,,,,베이스 이즈 나이스,"마포구 도화 2길 20, Seoul"
michelin,Bicena,"81F Lotte World Tower, 300 Olympic-ro, Songpa-gu, Seoul",Seoul,South Korea,1 Star,Korean,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bicena,,"The chef, originally from Gyeongsang-do, proudly showcases ingredients and culinary traditions from his hometown. The intriguing seasonal menu reflects the food culture of South Korea, guiding diners to experience its beauty. Meat dishes are the chef's specialities, including succulent, flavourful pork belly and one‑month house-dry Hanwoo beef sirloin. Located on the 81st floor, the restaurant offers splendid views of Seoul—window‑side seating and private rooms provide especially stunning panoramas.",37.5126,127.10253,2026-02-17T22:25:57.141146+00:00,,,,비채나,"송파구 올림픽로 300, 롯데월드 타워 81층, Seoul"
michelin,Bistrot de Yountville,"13-7 Seolleung-ro 158-gil, Gangnam-gu, Seoul",Seoul,South Korea,Selected,French,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bistrot-de-yountville,,"Bistrot de Yountville brings classic French-bistro charm to the city, evoking the warmth of the French countryside. The cuisine reflects the chef duo's dedication to the fundamentals of French cooking, infused with meticulous care and unwavering effort. The restaurant’s name pays homage to Yountville, the home of The French Laundry in California, where the chefs were inspired to recreate its unforgettable experiences for diners. The thoughtfully prepared dishes and cosy ambience here offer a delightful escape from the hustle and bustle of city life.",37.52602,127.04126,2026-02-17T22:25:57.141146+00:00,,,,비스트로 드 욘트빌,"강남구 선릉로 158길 13-7, Seoul"
michelin,Bium,"41 Hakdong-ro 97-gil, Gangnam-gu, Seoul",Seoul,South Korea,Selected,Korean,₩₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bium,,"Chef Dae-chun Kim's Bium showcases his deep understanding of Korean temple cuisine. Diners find a serene escape here, savouring calm, refined flavours away from the bustle of everyday life. Made with seasonal local vegetables, his dishes reflect the four Buddhist elements: earth, water, fire, and air. Chef Kim elevates Korean temple cuisine with premium produce, traditional jang, and refined techniques—offering wholesome, sophisticated flavours in every dish.",37.52239,127.05439,2026-02-17T22:25:57.141146+00:00,,,,비움,"강남구 학동로 97길 41, Seoul"
michelin,Bongmilga,"664 Seolleung-ro, Gangnam-gu, Seoul",Seoul,South Korea,Selected,Naengmyeon,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bongmilga,,"Run by a chef with a deep passion for buckwheat noodles, Bongmilga embraces meticulous preparations and strict standards for ingredients. The house-made pear vinegar, mustard sauce, daily-prepared radish kimchi, and slightly thick hand-cut buckwheat noodles set it apart from typical naengmyeon shops. The clear broth, simmered for about five hours with Korean beef and medicinal herbs, offers a clean, consommé-like flavour. Guests can enhance their experience by adding pear vinegar and mustard to the noodles and enjoying them with boiled pork. The menu offers a wider range of choices, including also Pyongyang-style noodles with minari and a comforting gomtang.",37.51598,127.0424,2026-02-17T22:25:57.141146+00:00,,,,봉밀가,"강남구 선릉로 664, Seoul"
michelin,Bongsanok,"5-6 Banpo-daero 8-gil, Seocho-gu, Seoul",Seoul,South Korea,Selected,Mandu,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bongsanok,,"Mandutguk, or Korean dumpling soup, is a dish that is deeply rooted in the day-to-day lives of Koreans. Owner Yoon Young-sook became acquainted with Hwanghaedo-style dumpling soup through her mother-in-law, a native of Sariwon, which is north of the border. To emulate the pure taste of the original dumpling filling, Yoon says she follows her recipe to the tee and feels very proud when she hears customers say her dumplings remind them of their own grandmother's.",37.48336,127.01242,2026-02-17T22:25:57.141146+00:00,,,,봉산옥,"서초구 반포대로 8길 5-6, Seoul"
michelin,Boreumsae,"36 Teheran-ro 81-gil, Gangnam-gu, Seoul",Seoul,South Korea,Selected,Barbecue,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/boreumsae,,"Boreumsae is the only place in Seoul that serves heukwoo, or native Jeju black cattle raised on a farm the restaurant runs on the island. Heukwoo is much firmer in texture, as it is leaner and nuttier in flavor. The robust, savory flavor fills the palate with only a simple sprinkling of salt. The restaurant takes exceptional pride in the quality of their meat, which is flown in fresh directly from Jeju. Boeumsae is the place to visit if you seek lean, clean flavored beef in Seoul.",37.509328,127.056611,2026-02-17T22:25:57.141146+00:00,,,,보름쇠,"강남구 테헤란로 81길 36, Seoul"
michelin,Borgo Hannam,"3F, 31 Itaewon-ro 54-gil, Yongsan-gu, Seoul",Seoul,South Korea,Selected,Italian,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/borgo-hannam,,"Once up the tiny set of stairs of Borgo Hannam, you will be greeted with homemade dishes and liqueurs befitting the cosy space. From the bread freshly baked in the morning to pastas and desserts, everything is handmade by Chef Stefano Di Salvo. The kitchen's signature Caldaro soup, inspired by the fisherman’s soup in Tuscany, has a rich, spicy flavour with the chef’s own twist. With a friendly atmosphere, this is a great spot for enjoying heartwarming Italian food from various regions.",37.53687,127.00187,2026-02-17T22:25:57.141146+00:00,,,,보르고 한남,"용산구 이태원로 54길 31, 3층, Seoul"
michelin,Born and Bred,"2F, 1 Majang-ro 42-gil, Seongdong-gu, Seoul",Seoul,South Korea,Selected,Barbecue,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/born-and-bred,,"Born and Bred showcases top-grade hanwoo sourced from Majang-dong, curated by an owner truly “born and bred” there. Spanning four floors, each with its own concept, the restaurant offers a wide range—from signature burgers and steaks to Korean-style grilling cuts and specialty selections by weight. One floor serves a set tasting menu, while another presents a chef’s choice menu that best reflects the restaurant’s identity, so it’s worth choosing your floor in advance.",37.56697,127.04468,2026-02-17T22:25:57.141146+00:00,,,,본 앤 브레드,"성동구 마장로 42길 1, 2층, Seoul"
michelin,Buchon Yukhoe,"200-12 Jong-ro, Jongno-gu, Seoul",Seoul,South Korea,Bib Gourmand,Yukhoe,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/buchon-yukhoe,,"Occupying a corner of the well-established raw beef alley of Gwangjang Market, Buchon Yukhoe has been in business since 1965, originally started as Buchon Sikdang selling short rib soup. The founding matriarch’s original Jeollado Province-style raw beef, seasoned with red chili paste, gave way to the more popular Seoul-style in the 1980s, seasoned with sesame oil and eaten with matchstick pears. Try the raw beef bibimbap for a more substantial meal. Locally sourced beef is delivered to the restaurant each morning.",37.57034,126.99991,2026-02-17T22:25:57.141146+00:00,,,,부촌육회,"종로구 종로 200-12, Seoul"
michelin,Budnamujip,"434 Hyoryeong-ro, Seocho-gu, Seoul",Seoul,South Korea,Selected,Barbecue,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/budnamujip,,"Since 1977, this family-style restaurant has garnered an appreciative following of barbecue lovers, often seeing three generations of loyal patrons from one family frequenting the shop. A popular locality for residents south of the river, it specializes in various cuts of meat exclusively from the cow including ribs, sirloin and tripe. The rich flavors of the exceptionally tender meat is enhanced simply with quality bay salt.",37.48907,127.03118,2026-02-17T22:25:57.141146+00:00,,,,버드나무집,"서초구 효령로 434, Seoul"
michelin,Byeokje Galbi,"1-4 Yangjae-daero 71-gil, Songpa-gu, Seoul",Seoul,South Korea,Selected,Barbecue,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/byeokje-galbi,,"Byeokje Galbi is a local institution that has been serving legendary barbecued beef short ribs since 1986. The restaurant’s attention to quality begins from the breeding of the cows at a local farm in Pocheon. Only the top 1% (BMS No9) are purchased, whole, at a daily auction, after which they are handled by an artisan butcher. The signature dishes are the beautifully marbled short ribs and ribeye grilled over charcoal. From a simple meal of cold buckwheat noodles and soup to an elaborate barbecue feast, Byeokje Galbi caters to all occasions.",37.51007,127.12619,2026-02-17T22:25:57.141146+00:00,,,,벽제갈비,"송파구 양재대로 71길 1-4, Seoul"
michelin,Chaconne,"1F, Building 102, Yeoksam Hills, 23 Nonhyeon-ro 97-gil, Gangnam-gu, Seoul",Seoul,South Korea,Selected,French Contemporary,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/chaconne,,"Tucked away in a quiet location, Chaconne feels like a hidden retreat. The food, made with seasonal Korean ingredients, is rooted in French cuisine and accented with Japanese flavours, which reflects the chef’s varied culinary journey. The chef's speciality is using different fruits to add acidity and sweetness to his dishes. The contemporary, relaxed dining space creates a pleasant atmosphere, and the staff’s thoughtful explanations make each course easy to appreciate.",37.50274,127.03376,2026-02-17T22:25:57.141146+00:00,,,,샤콘느,"강남구 논현로 97길 23 역삼힐스 102동 1층, Seoul"
michelin,Chez Nous Private Kitchen,"3F, 210-6 Noksapyeong-Daero, Yongsan-gu, Seoul",Seoul,South Korea,Selected,French,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/chez-nous,,"Meaning 'our home' in French, Chez Nous Private Kitchen represents the chef-owner couple’s wish to serve guests with warm, hearty food in a homelike setting. The diner's homestyle dishes are anything but ordinary, reflecting Chef Mathieu Moles’ experience as an executive chef at major restaurants and hotels in France. In this cosy dining space, you can enjoy authentic French dishes, including scallop carpaccio and steak tartare featuring truffle emulsion.",37.53634,126.98734,2026-02-17T22:25:57.141146+00:00,,,,셰누 프라이빗 키친,"용산구 녹사평대로 210-6, 3층, Seoul"
michelin,Chez Simon,"3F, 66 Hoenamu-ro, Yongsan-gu, Seoul",Seoul,South Korea,Selected,French,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/chez-simon,,"Chez Simon, This French bistro has been growing at a steady pace. The couple who runs this eatery closes its doors every year for a certain period, so that they can travel around the world to discover new ingredients. It is this unrelenting dedication to cuisine and humility that has marked the success, even though the chefs have had no professional culinary training. This French kitchen offers only course meals, featuring plain, simple dishes that are the culmination of authentic recipes and fresh, carefully curated ingredients.",37.54015,126.99404,2026-02-17T22:25:57.141146+00:00,,,,쉐시몽,"용산구 회나무로 66, 3층, Seoul"
michelin,Collage,"2F Ananti at Gangnam, 11 Nonhyeon-ro 136-gil, Gangnam-gu, Seoul",Seoul,South Korea,Selected,French Contemporary,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/collage,,"Just like the visual art technique of collage, Chef Jin-sung Noh draws upon his extensive understanding of ingredients to create dishes that balance various flavours. His refined culinary skills are richly expressed through the harmonious blend of ingredients' inherent flavours and dense sauces. By incorporating seasonal local ingredients with fermentation techniques, he gives traditional French cuisine a modern, diverse touch. Enjoy his distinctively stylish dishes in a charming dining space.",37.51619,127.03099,2026-02-17T22:25:57.141146+00:00,,,,꼴라쥬,"강남구 논현로 136길 11, 아난티 앳 강남 2층, Seoul"
michelin,Comme Moa,"56 Sinheung-ro, Yongsan-gu, Seoul",Seoul,South Korea,Selected,French,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/comme-moa,,"This cozy charmer, located towards the tail end of Haebangchon’s main street, is Chef Kim Moa’s cheery French bistro that serves up authentic fare. The menu is composed of classic dishes that clearly demonstrate her philosophy that good ingredients and care for the guests should be the foundation of a tasty dish. Some of the restaurant’s best sellers include foie gras crème brûlée, pâté en croute and beef Wellington, which diners have to call ahead and order a day in advance. For dessert, the chef's special soufflé is a must.",37.54344,126.9877,2026-02-17T22:25:57.141146+00:00,,,,꼼 모아,"용산구 신흥로 56, Seoul"
michelin,Continental,"23F The Shilla Hotel, 249 Dongho-ro, Jung-gu, Seoul",Seoul,South Korea,Selected,French,₩₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/continental,,"The Continental, which opened alongside the establishment of the Shilla Hotel remains a symbol of French cuisine in Korea.  It highlights refined French gastronomy through seasonal local ingredients and contemporary techniques. Seasonal fish served with classic French sauces alone offers a compelling reason to return throughout the year. The tables by the windows that overlook the Seoul cityscape add elegance while the attentive staff enhance the restaurant's stature as a preier dining destination.",37.5558213,127.00517,2026-02-17T22:25:57.141146+00:00,,,,콘티넨탈,"중구 동호로 249, 신라호텔 23층, Seoul"
michelin,Crystal Jade,"B1F, 16 Namdaemun-ro 7-gil, Jung-gu, Seoul",Seoul,South Korea,Selected,Chinese,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/crystal-jade,,"Crystal Jade has been serving various styles of Chinese cuisine in many cities around the Asian Pacific region, and there are 15 establishments peppered across Korea. This particular branch is a Chinese restaurant run by the global Chinese cuisine brand Crystal Jade. It serves a wide array of Asian dishes including traditional Cantonese and Hong Kong cuisine, and Singaporean food. It is the place to go to enjoy Chinese food with Crystal Jade's high standards. The selection of intensely umami barbecue and seafood dishes might just be the perfect place for a fun gathering.",37.564311,126.981212,2026-02-17T22:25:57.141146+00:00,,,,크리스탈 제이드,"중구 남대문로 7길 16, 지하 1층, Seoul"
michelin,Daesungjip,"5 Sajik-ro, Jongno-gu, Seoul",Seoul,South Korea,Bib Gourmand,Doganitang,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/daesungjip,,"At Daesungjip, a rich, milky broth comes brimming with tender beef knee cartilage (dogani), tendon (suji), and shank (satae), all served with a dose of old-school hospitality. There’s no trace of gaminess—just a clean, subtly sweet broth with a luxuriously silky mouthfeel from well-emulsified fat. The steaming soup, springy dogani, and fluffy rice form a perfect trio, elevated by sharp kimchi, crisp kkakdugi, and bold gochujang garlic on the side. Owner Lee Chun-hee, still behind the ladle daily, may just be the key to the unwavering quality of this beloved doganitang.",37.57269,126.96091,2026-02-17T22:25:57.141146+00:00,,,,대성집,"종로구 사직로 5, Seoul"
michelin,Damtaek,"51 Donggyo-ro 12an-gil, Mapo-gu, Seoul",Seoul,South Korea,Bib Gourmand,Ramen,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/damtaek,,"Damtaek is a cozy little ramen haven nestled in a quiet alley near Hapjeong Station. Chef Jo Won-hyeon has purposefully adorned this quaint space with vintage artifacts. The restaurant’s shio ramen, and associated variations that use the same soup base, are in stark contrast to its homey, down-to-earth vibe. The refined and clean flavors of the soups are singular and inspire lingering addiction. With a passion for creating tastes unbound by culinary convention, the chef has persistently dedicated his craft toward perfecting the art of shio ramen, creating ramen that can delight any palate.",37.55448,126.91512,2026-02-17T22:25:57.141146+00:00,,,,담택,"마포구 동교로12안길 51, Seoul"
michelin,De Tempore,"37 Hannam-daero, Yongsan-gu, Seoul",Seoul,South Korea,Selected,French,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/de-tempore,,"‘De tempore,’ true to its name, is a modern French restaurant that embraces the essence of seasonal ingredients in its dishes. Within the broad framework of French cuisine, the chef's refined touch brings a sense of seasonality and harmony to each plate. Signature creations like duck breast with duck jus sauce or seasonal fish paired with bisque sauce showcase the restaurant's culinary artistry, with its diverse and distinctive sauces adding an extra layer of enjoyment to the dining experience.",37.532213,127.0081086,2026-02-17T22:25:57.141146+00:00,,,,디 템포레,"용산구 한남대로 37, Seoul"
michelin,Doori,"27 Wonhyo-ro 63-gil, Yongsan-gu, Seoul",Seoul,South Korea,Selected,Korean,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/doori,,"Born and raised in Yongsan, the chef and his wife present inventive Korean dishes in a serene, minimalist space. The restaurant's menu evolves constantly, shaped by seasonal ingredients and a thoughtful zero-waste philosophy. A standout in the menu, 'All of Today’s Scraps', transforms leftovers of the day into a dish that is remarkably aromatic and deeply flavourful. It’s hard to imagine a finer expression of conscious, creative dining than the one Doori offers.",37.53795,126.96352,2026-02-17T22:25:57.141146+00:00,,,,두리,"용산구 원효로63길 27, Seoul"
michelin,Doughroom,"2F, 99 Donggwang-ro, Seocho-gu, Seoul",Seoul,South Korea,Selected,Italian,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/doughroom,,"Dedicated to making artisanal pasta from scratch, Doughroom is a keeper for all Italian food lovers. The dough room itself, where all the pastas are made fresh daily, is undoubtedly the heart of the restaurant. While offering authentic flavors of Italy, it also serves fusion dishes using ingredients familiar to the local palate — for example, their buckwheat cannelloni. Asking for the action-packed dough room table when making a reservation is highly recommended.",37.49379,126.99333,2026-02-17T22:25:57.141146+00:00,,,,도우룸,"서초구 동광로 99, 2층, Seoul"
michelin,Eatanic Garden,"36F Josun Palace Hotel, 231 Teheran-ro, Gangnam-gu, Seoul",Seoul,South Korea,1 Star,Korean Contemporary,₩₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/eatanic-garden,,"As the name suggests, the space evokes a beautiful urban garden. The window seats  are prized for the commanding views of the cityscape from the 36th floor of the Josun Palace Hotel. There is no menu here; instead, diners receive a series of illustrated cards depicting the main seasonal element of each beautifully executed dish. The delightful staff are there to guide them along and explain each dish in more detail. Traditional Korean dishes are given a creative twist, which demonstrates the restaurant’s mastery of contemporary culinary techniques.",37.50304,127.04158,2026-02-17T22:25:57.141146+00:00,,,,이타닉 가든,"강남구 테헤란로 231, 조선팰리스 호텔 36층, Seoul"
michelin,Egg & Flour,"2F, 35 Shinheung-ro 26-gil, Yongsan-gu, Seoul",Seoul,South Korea,Bib Gourmand,Italian,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/egg-flour,,"Eggs and flour are the main ingredients for making fresh pasta, and fresh pasta is what Egg & Flour does best. Freshly made pastas including capellini, reginetti, tagliatelle, rigatoni, and pappardelle are carefully paired with the perfect sauces to create uniquely flavorful dishes. Dining at a window seat with an open view of Namsan Haebangchon at sunset makes an unforgettable experience. The first floor is a private space while the second floor is the dining hall; it is equally suitable for a close knit group and a large party.",37.545342,126.984447,2026-02-17T22:25:57.141146+00:00,,,,에그 앤 플라워,"용산구 신흥로 26길 35, 3층, Seoul"
michelin,ELPIC,"25 Dosan-daero 78-gil, Gangnam-gu, Seoul",Seoul,South Korea,Selected,Meats and Grills,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/elpic,,"ELPIC, once a famed grill house on Jeju Island, has found its new home in Seoul. Dry-aged, wet-aged, and beeswax-aged beef steaks are signature dishes at this steakhouse; its grilled fresh squid, caught in the waters off Jeju Island, is also a culinary delight. The method of grilling the steaks is unique: They are cooked over charcoal at a low temperature and cooled, with the process repeating for more than 30 minutes to maximise tenderness and juiciness. Pair the meat with wine for additional gastronomic indulgence.",37.52237,127.04659,2026-02-17T22:25:57.141146+00:00,,,,엘픽,"강남구 도산대로 78길 25, Seoul"
