source,name,address,city,country,category,cuisine,price,phone,url,year,latitude,longitude,captured_at,kakao_id,kakao_url
michelin,Jin Jin,"60 World Cup buk-ro 1-gil, Mapo-gu, Seoul, 04031, South Korea",Seoul,South Korea,Bib Gourmand,"Chinese
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+8270-5035-8878,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/jin-jin,,37.55777,126.91324,2026-02-14T03:18:57.269320+00:00,,
michelin,JUE,"124-7 Dokseodang-ro, Yongsan-gu, Seoul, 04420, South Korea",Seoul,South Korea,Selected,"Chinese
Family Friendly
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-798-9700,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/jue,,37.53744,127.01277,2026-02-14T03:18:57.269320+00:00,,
michelin,Manao,"2F, 18 Hannam-daero 21-gil, Yongsan-gu, Seoul, 04401, South Korea",Seoul,South Korea,Selected,"Thai
Family Friendly
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/manao,,37.53411,127.00613,2026-02-14T03:18:57.269320+00:00,,
michelin,Manjok Ohyang Jokbal,"134-7 Seosomun-ro, Jung-gu, Seoul, 04514, South Korea",Seoul,South Korea,Bib Gourmand,"Jokbal
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-753-4755,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/manjok-ohyang-jokbal,,37.56324,126.97598,2026-02-14T03:18:57.269320+00:00,,
michelin,Mipildam,"22 Seongji 3-gil, Mapo-gu, Seoul, 04083, South Korea",Seoul,South Korea,Bib Gourmand,"Mandu
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+8210-5455-5041,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/mipildam,,37.54658,126.91419,2026-02-14T03:18:57.269320+00:00,,
michelin,Mugunghwa,"38F Lotte Hotel, 30 Eulji-ro, Jung-gu, Seoul, 04533, South Korea",Seoul,South Korea,Selected,"Korean
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-317-7061,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/mugunghwa,,37.56533,126.981,2026-02-14T03:18:57.269320+00:00,,
michelin,Mukjung,"17 Teogye-ro 48-gil, Jung-gu, Seoul, 04619, South Korea",Seoul,South Korea,Selected,"Korean
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+8210-8350-6743,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/mukjung,,37.56181,127.00053,2026-02-14T03:18:57.269320+00:00,,
michelin,Myungbodang,"3F, 13-12 Seolleung-ro 158-gil, Gangnam-gu, Seoul, 06014, South Korea",Seoul,South Korea,Selected,"Contemporary
Chef's Table
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-511-5046,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/myungbodang,,37.52635,127.041513,2026-02-14T03:18:57.269320+00:00,,
michelin,Nishimuramen,"4F, 265 Donggyo-ro, Mapo-gu, Seoul, 03983, South Korea",Seoul,South Korea,Bib Gourmand,"Ramen
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+8210-9596-1122,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/nishimuramen,,37.56337,126.92526,2026-02-14T03:18:57.269320+00:00,,
michelin,Oegojip Seolleongtang,"555 Samseong-ro, Gangnam-gu, Seoul, 06155, South Korea",Seoul,South Korea,Selected,"Seolleongtang
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-567-5225,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/oegojip-sellongtang,,37.51097,127.05388,2026-02-14T03:18:57.269320+00:00,,
michelin,Oilje,"29 Hangang-daero 62da-gil, Yongsan-gu, Seoul, 04382, South Korea",Seoul,South Korea,Selected,"Korean
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+8270-8831-5534,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/oilje,,37.53254,126.97473,2026-02-14T03:18:57.269320+00:00,,
michelin,Okdol Heyonok,"26-1 Ogeum-ro  36-gil, Songpa-gu, Seoul, 05700, South Korea",Seoul,South Korea,Bib Gourmand,"Naengmyeon
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-404-4824,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok,,37.50153,127.12408,2026-02-14T03:18:57.269320+00:00,,
michelin,Onjium,"4F, 49 Hyoja-ro, Jongno-gu, Seoul, 03043, South Korea",Seoul,South Korea,1 Star,"Korean
Chef's Table
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-6952-0024,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/onjium,,37.58048,126.97345,2026-02-14T03:18:57.269320+00:00,,
michelin,Onyva,"B1, 15 Dosan-daero 75-gil, Gangnam-gu, Seoul, 06015, South Korea",Seoul,South Korea,Selected,"French
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-516-3352,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/onyva,,37.52515,127.0457,2026-02-14T03:18:57.269320+00:00,,
michelin,Original Numbers,"24 Dosan-daero 55-gil, Gangnam-gu, Seoul, 06014, South Korea",Seoul,South Korea,Selected,Contemporary,₩₩,+822-545-1777,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/original-numbers,,37.52509,127.04071,2026-02-14T03:18:57.269320+00:00,,
michelin,Pierre Gagnaire,"35F Lotte Hotel, 30 Eulji-ro, Jung-gu, Seoul, 04533, South Korea",Seoul,South Korea,Selected,"French
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-317-7181,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/pierre-gagnaire,,37.56529,126.98103,2026-02-14T03:18:57.269320+00:00,,
michelin,Restaurant OY,"B1F, 48-12 Seolleung-ro 148-gil, Gangnam-gu, Seoul, 06064, South Korea",Seoul,South Korea,Selected,French,₩₩₩₩,+822-515-7250,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/restaurant-oy,,37.522219,127.04329,2026-02-14T03:18:57.269320+00:00,,
michelin,SAN,"B1, 6 Eonju-ro 168-gil, Gangnam-gu, Seoul, 06020, South Korea",Seoul,South Korea,Selected,"Innovative
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/san,,37.52631,127.03391,2026-02-14T03:18:57.269320+00:00,,
michelin,Seokyonanmyunbang,"16 Donggyo-ro 12-gil, Mapo-gu, Seoul, 04029, South Korea",Seoul,South Korea,Bib Gourmand,"Noodles
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+8210-9516-0934,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/seokyonanmyunbang,,37.55359,126.91231,2026-02-14T03:18:57.269320+00:00,,
michelin,Sobakeeri Suzu,"98 Dongho-ro 12-gil, Jung-gu, Seoul, 04608, South Korea",Seoul,South Korea,Selected,"Soba
Worth Queueing For
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-2256-6986,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/sobakeeri-suzu,,37.55949,127.01243,2026-02-14T03:18:57.269320+00:00,,
michelin,Sonnet,"3F, Seolleung-ro 157-gil, Gangnam-gu, Seoul, 06018, South Korea",Seoul,South Korea,Selected,"French Contemporary
Date night
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-6953-5999,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886,,37.52628,127.03704,2026-02-14T03:18:57.269320+00:00,,
michelin,Sooksoodoga,"28 Dongsomun-ro 17-gil, Seongbuk-gu, Seoul, 02830, South Korea",Seoul,South Korea,Selected,"Barbecue
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+8210-8231-2627,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/sooksoodoga,,37.5935,127.01539,2026-02-14T03:18:57.269320+00:00,,
michelin,Joo052,"26 Gosanja-ro 14-gil, Seongdong-gu, Seoul, 04750, South Korea",Seoul,South Korea,Selected,"Korean
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-2281-0343,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/sool052,,37.56344,127.03766,2026-02-14T03:18:57.269320+00:00,,
michelin,Tenjimon,"4F, 41 Hakdong-ro 97-gil, Gangnam-gu, Seoul, 06072, South Korea",Seoul,South Korea,Selected,"Japanese
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-542-3010,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/tenjimon,,37.52237,127.05429,2026-02-14T03:18:57.269320+00:00,,
michelin,Teppan,"B1F, Grand Hyatt Hotel, 322 Sowol-ro, Yongsan-gu, Seoul, 04347, South Korea",Seoul,South Korea,Selected,"Teppanyaki
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,+822-799-8272,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/teppan,,37.53929,126.9971,2026-02-14T03:18:57.269320+00:00,,
michelin,Tim Ho Wan,"30 Bongeunsa-ro 86-gil, Gangnam-gu, Seoul, 06165, South Korea",Seoul,South Korea,Selected,"Dim Sum
Family Friendly
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-6207-3082,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/tim-ho-wan,,37.5115769,127.0567982,2026-02-14T03:18:57.269320+00:00,,
michelin,Toh Lim,"37F Lotte Hotel, 30 Eulji-ro, Jung-gu, Seoul, 04533, South Korea",Seoul,South Korea,Selected,"Chinese
Family Friendly
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-317-7101,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/toh-lim,,37.56531,126.981,2026-02-14T03:18:57.269320+00:00,,
michelin,Trid,"2F, 16 Seolleung-ro 162-gil, Gangnam-gu, Seoul, 06014, South Korea",Seoul,South Korea,Selected,Contemporary,₩₩₩,+822-512-8312,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/trid,,37.5267383,127.0416702,2026-02-14T03:18:57.269320+00:00,,
michelin,Yakitori Mook,"165-1 Seongmisan-ro, Mapo-gu, Seoul, 03980, South Korea",Seoul,South Korea,Selected,"Yakitori
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+8270-8835-3433,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/yakitori-mook,,37.56461,126.92449,2026-02-14T03:18:57.269320+00:00,,
michelin,Yu Yuan,"11F Four Seasons Hotel, 97 Saemunan-ro, Jongno-gu, Seoul, 03183, South Korea",Seoul,South Korea,1 Star,"Chinese
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-6388-5500,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/yu-yuan,,37.57049,126.97545,2026-02-14T03:18:57.269320+00:00,,
michelin,Yurimmyeon,"139-1 Seosomun-ro, Jung-gu, Seoul, 04515, South Korea",Seoul,South Korea,Bib Gourmand,"Memil-guksu
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-755-0659,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/yurimmyeon,,37.56419,126.9761,2026-02-14T03:18:57.269320+00:00,,
michelin,Bicena,"81F Lotte World Tower, 300 Olympic-ro, Songpa-gu, Seoul, 05551, South Korea",Seoul,South Korea,1 Star,"Korean
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,+822-3213-1261,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bicena,,37.5126,127.10253,2026-02-14T03:18:57.269320+00:00,,
michelin,Bistrot de Yountville,"13-7 Seolleung-ro 158-gil, Gangnam-gu, Seoul, 06014, South Korea",Seoul,South Korea,Selected,"French
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-541-1550,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bistrot-de-yountville,,37.52602,127.04126,2026-02-14T03:18:57.269320+00:00,,
michelin,Bongmilga,"664 Seolleung-ro, Gangnam-gu, Seoul, 06088, South Korea",Seoul,South Korea,Selected,"Naengmyeon
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-546-2305,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bongmilga,,37.51598,127.0424,2026-02-14T03:18:57.269320+00:00,,
michelin,Boreumsae,"36 Teheran-ro 81-gil, Gangnam-gu, Seoul, 06167, South Korea",Seoul,South Korea,Selected,"Barbecue
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-569-9967,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/boreumsae,,37.509328,127.056611,2026-02-14T03:18:57.269320+00:00,,
michelin,Budnamujip,"434 Hyoryeong-ro, Seocho-gu, Seoul, 06729, South Korea",Seoul,South Korea,Selected,"Barbecue
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-3473-4167,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/budnamujip,,37.48907,127.03118,2026-02-14T03:18:57.269320+00:00,,
michelin,Chez Nous Private Kitchen,"3F, 210-6 Noksapyeong-Daero, Yongsan-gu, Seoul, 04345, South Korea",Seoul,South Korea,Selected,"French
Chef's Table
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+8270-8624-8907,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/chez-nous,,37.53634,126.98734,2026-02-14T03:18:57.269320+00:00,,
michelin,Comme Moa,"56 Sinheung-ro, Yongsan-gu, Seoul, 04339, South Korea",Seoul,South Korea,Selected,"French
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-6217-5252,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/comme-moa,,37.54344,126.9877,2026-02-14T03:18:57.269320+00:00,,
michelin,Crystal Jade,"B1F, 16 Namdaemun-ro 7-gil, Jung-gu, Seoul, 04533, South Korea",Seoul,South Korea,Selected,"Chinese
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-3789-8088,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/crystal-jade,,37.564311,126.981212,2026-02-14T03:18:57.269320+00:00,,
michelin,Daesungjip,"5 Sajik-ro, Jongno-gu, Seoul, 03029, South Korea",Seoul,South Korea,Bib Gourmand,"Doganitang
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-735-4259,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/daesungjip,,37.57269,126.96091,2026-02-14T03:18:57.269320+00:00,,
michelin,Damtaek,"51 Donggyo-ro 12an-gil, Mapo-gu, Seoul, 04029, South Korea",Seoul,South Korea,Bib Gourmand,"Ramen
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-332-4560,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/damtaek,,37.55448,126.91512,2026-02-14T03:18:57.269320+00:00,,
michelin,Doughroom,"2F, 99 Donggwang-ro, Seocho-gu, Seoul, 06584, South Korea",Seoul,South Korea,Selected,"Italian
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-535-9386,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/doughroom,,37.49379,126.99333,2026-02-14T03:18:57.269320+00:00,,
michelin,Gaeseong Mandu Koong,"11-3 Insadong 10-gil, Jongno-gu, Seoul, 03146, South Korea",Seoul,South Korea,Bib Gourmand,"Mandu
Family Friendly
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-733-9240,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/gaeseong-mandu-koong,,37.57423,126.98539,2026-02-14T03:18:57.269320+00:00,,
michelin,Gom Ba Wie,"10 Yeongdong-daero 115-gil, Gangnam-gu, Seoul, 06087, South Korea",Seoul,South Korea,Selected,"Barbecue
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-511-0068,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/gom-ba-wie,,37.51485,127.05885,2026-02-14T03:18:57.269320+00:00,,
michelin,Kyoyang Siksa,"238 Itaewon-ro, Yongsan-gu, Seoul, 04400, South Korea",Seoul,South Korea,Selected,"Barbecue
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+8210-7601-4041,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/gyoyang-siksa,,37.53592,126.99994,2026-02-14T03:18:57.269320+00:00,,
michelin,Halmaejip,"1-5 Sajik-ro 12-gil, Jongno-gu, Seoul, 03169, South Korea",Seoul,South Korea,Bib Gourmand,"Korean
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-735-2608,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/halmaejip,,37.5755506,126.9715631,2026-02-14T03:18:57.269320+00:00,,
michelin,HORAPA,"2F, 37-1 Jahamun-ro, Jongno-gu, Seoul, 03040, South Korea",Seoul,South Korea,Bib Gourmand,"Thai
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-730-0215,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/horapa,,37.57938,126.9711,2026-02-14T03:18:57.269320+00:00,,
michelin,Hwanggeum Kongbat,"9 Mapo-daero 16-gil, Mapo-gu, Seoul, 04205, South Korea",Seoul,South Korea,Bib Gourmand,"Dubu
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-313-2952,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/hwanggeum-kongbat,,37.5509,126.9567,2026-02-14T03:18:57.269320+00:00,,
michelin,Hwangsaengga Kalguksu,"78 Bukchon-ro 5-gil, Jongno-gu, Seoul, 03053, South Korea",Seoul,South Korea,Bib Gourmand,"Kalguksu
Family Friendly
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-739-6334,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/hwangsaengga-kalguksu,,37.58003,126.98065,2026-02-14T03:18:57.269320+00:00,,
michelin,Jeongmyeon,"88 Neungdong-ro 13-gil, Gwangjin-gu, Seoul, 05012, South Korea",Seoul,South Korea,Bib Gourmand,"Noodles
Worth Queueing For
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+8210-9974-3592,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/jeongmyeon,,37.54551,127.06866,2026-02-14T03:18:57.269320+00:00,,
michelin,Jinmi Sikdang,"186-6 Mapo-daero, Mapo-gu, Seoul, 04207, South Korea",Seoul,South Korea,Selected,"Gejang
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+822-3211-4468,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/jinmi-sikdang,,37.55055,126.95577,2026-02-14T03:18:57.269320+00:00,,
michelin,July,"164 Donggwang-ro, Seocho-gu, Seoul, 06589, South Korea",Seoul,South Korea,Selected,"Modern Cuisine
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,+822-534-9544,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/july,,37.49475,127.00008,2026-02-14T03:18:57.269320+00:00,,
michelin,Jungin Myeonok,"10 Gukhoe-daero 76-gil, Yeongdeungpo-gu, Seoul, 07238, South Korea",Seoul,South Korea,Bib Gourmand,"Naengmyeon
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-2683-2615,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/jungin-myeonok,,37.5307,126.92167,2026-02-14T03:18:57.269320+00:00,,
michelin,Kirameki,"18 Dosan-daero 28-gil, Gangnam-gu, Seoul, 06040, South Korea",Seoul,South Korea,Selected,"Japanese
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+8210-3894-2356,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/kirameki,,37.51808,127.02822,2026-02-14T03:18:57.269320+00:00,,
michelin,Kojacha,"17 Hakdong-ro 97-gil, Gangnam-gu, Seoul, 06072, South Korea",Seoul,South Korea,Selected,"Asian
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+8210-9023-7771,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/kojacha,,37.52083,127.05519,2026-02-14T03:18:57.269320+00:00,,
